Version,File Name,LOC,LOC_touched,NR,NFix,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSize,Buggy
1,src\java\jmx\org\apache\zookeeper\jmx\CommonNames.java,30,9,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\MBeanRegistry.java,176,9,4,0,2,2,0,2,2,0,486,200,121,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\ConnectionBean.java,113,16,5,0,3,2,0,3,2,0,601,270,120,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\ConnectionMXBean.java,69,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\DataTreeBean.java,89,20,5,0,3,2,0,-1,2,0,693,275,138,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\DataTreeMXBean.java,47,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\FollowerBean.java,29,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\FollowerMXBean.java,27,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\LeaderBean.java,30,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\LeaderElectionBean.java,44,9,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\LeaderElectionMXBean.java,35,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\LeaderMXBean.java,27,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\LocalPeerBean.java,54,15,4,0,7,5,1,7,5,1,549,263,137,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\LocalPeerMXBean.java,35,9,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\QuorumBean.java,45,10,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\QuorumMXBean.java,34,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\RemotePeerBean.java,46,10,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\RemotePeerMXBean.java,34,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\ServerBean.java,39,9,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\quorum\ServerMXBean.java,34,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\ZooKeeperServerBean.java,118,36,4,0,23,21,5,22,20,5,549,263,137,No
1,src\java\jmx\org\apache\zookeeper\jmx\server\ZooKeeperServerMXBean.java,75,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\jmx\ZKMBeanInfo.java,37,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\ManagedZooKeeperServer.java,126,68,6,0,13,8,2,2,2,0,750,263,125,No
1,src\java\jmx\org\apache\zookeeper\server\ManagedZooKeeperServerMain.java,87,17,4,0,9,7,2,8,7,2,335,134,83,No
1,src\java\jmx\org\apache\zookeeper\server\ObservableDataTree.java,116,19,4,0,4,2,1,4,2,1,652,366,163,No
1,src\java\jmx\org\apache\zookeeper\server\ObservableNIOServerCnxn.java,86,11,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\ObservableZooKeeperServer.java,57,35,6,0,12,6,2,11,6,1,750,263,125,No
1,src\java\jmx\org\apache\zookeeper\server\quorum\ManagedQuorumPeer.java,226,110,7,0,20,8,2,13,8,1,765,263,109,Yes
1,src\java\jmx\org\apache\zookeeper\server\quorum\ManagedQuorumPeerMain.java,138,47,5,0,15,10,3,1,10,0,342,132,68,Yes
1,src\java\jmx\org\apache\zookeeper\server\quorum\ObservableFollower.java,79,11,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\quorum\ObservableFollowerZooKeeperServer.java,56,15,4,0,3,2,0,2,2,0,620,334,155,No
1,src\java\jmx\org\apache\zookeeper\server\quorum\ObservableLeader.java,83,11,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\quorum\ObservableLeaderZooKeeperServer.java,56,15,4,0,3,2,0,2,2,0,620,334,155,No
1,src\java\jmx\org\apache\zookeeper\server\quorum\ObservableQuorumPeer.java,116,73,7,0,22,11,3,18,9,2,765,263,109,Yes
1,src\java\jmx\org\apache\zookeeper\server\util\ConnectionObserver.java,39,9,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\DataTreeObserver.java,54,10,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\EventInfo.java,31,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\ObservableComponent.java,35,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\ObserverManager.java,96,8,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\QuorumPeerObserver.java,70,11,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\ServerObserver.java,39,9,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\util\ZooKeeperObserverManager.java,62,12,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\jmx\org\apache\zookeeper\server\ZooKeeperObserverNotifier.java,77,11,3,0,2,2,0,2,2,0,286,159,95,No
1,src\java\main\org\apache\jute\BinaryInputArchive.java,133,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\BinaryOutputArchive.java,150,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\CGenerator.java,89,8,3,0,4,4,1,4,4,1,530,314,176,No
1,src\java\main\org\apache\jute\compiler\CppGenerator.java,84,8,4,0,4,4,1,4,4,1,556,216,139,No
1,src\java\main\org\apache\jute\compiler\generated\ParseException.java,211,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\generated\Rcc.java,526,48,4,0,23,23,5,23,23,5,556,216,139,No
1,src\java\main\org\apache\jute\compiler\generated\RccConstants.java,89,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\generated\RccTokenManager.java,834,2,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\generated\SimpleCharStream.java,458,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\generated\Token.java,100,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\generated\TokenMgrError.java,152,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JavaGenerator.java,63,6,4,0,3,3,0,3,3,0,556,216,139,No
1,src\java\main\org\apache\jute\compiler\JBoolean.java,44,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JBuffer.java,108,7,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JByte.java,36,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JCompType.java,56,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JDouble.java,42,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JField.java,100,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JFile.java,76,7,4,0,2,2,0,2,2,0,556,216,139,No
1,src\java\main\org\apache\jute\compiler\JFloat.java,41,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JInt.java,36,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JLong.java,40,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JMap.java,102,2,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JRecord.java,509,4,4,0,0,0,0,0,0,0,556,216,139,No
1,src\java\main\org\apache\jute\compiler\JString.java,48,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JType.java,143,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\compiler\JVector.java,107,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\CsvInputArchive.java,211,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\CsvOutputArchive.java,152,4,4,0,3,3,0,3,3,0,690,299,172,Yes
1,src\java\main\org\apache\jute\Index.java,40,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\InputArchive.java,46,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\OutputArchive.java,49,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\Record.java,34,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\RecordReader.java,99,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\RecordWriter.java,118,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\Utils.java,279,5,4,0,2,2,0,2,2,0,614,223,153,Yes
1,src\java\main\org\apache\jute\XmlInputArchive.java,252,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\jute\XmlOutputArchive.java,253,1,3,0,0,0,0,0,0,0,391,216,130,No
1,src\java\main\org\apache\zookeeper\AsyncCallback.java,53,11,3,0,2,2,0,2,2,0,343,216,114,No
1,src\java\main\org\apache\zookeeper\ClientCnxn.java,1046,562,18,5,289,73,16,222,58,12,1087,216,60,Yes
1,src\java\main\org\apache\zookeeper\ClientWatchManager.java,40,6,3,0,1,1,0,-2,1,0,76,64,25,No
1,src\java\main\org\apache\zookeeper\CreateMode.java,90,0,1,0,0,0,0,0,0,0,0,0,0,No
1,src\java\main\org\apache\zookeeper\KeeperException.java,337,9,4,0,2,2,0,2,2,0,416,216,104,No
1,src\java\main\org\apache\zookeeper\server\auth\AuthenticationProvider.java,82,10,3,0,2,2,0,2,2,0,343,216,114,No
1,src\java\main\org\apache\zookeeper\server\auth\DigestAuthenticationProvider.java,128,139,4,0,2,2,0,2,2,0,362,216,90,No
1,src\java\main\org\apache\zookeeper\server\auth\HostAuthenticationProvider.java,68,12,3,0,2,2,0,2,2,0,343,216,114,No
1,src\java\main\org\apache\zookeeper\server\auth\IPAuthenticationProvider.java,116,12,3,0,2,2,0,2,2,0,343,216,114,No
1,src\java\main\org\apache\zookeeper\server\auth\ProviderRegistry.java,79,90,5,0,11,9,2,10,8,2,696,334,139,Yes
1,src\java\main\org\apache\zookeeper\server\ByteBufferInputStream.java,73,9,3,0,2,2,0,2,2,0,343,216,114,No
1,src\java\main\org\apache\zookeeper\server\DataNode.java,126,87,10,0,47,25,4,47,25,4,976,231,97,Yes
1,src\java\main\org\apache\zookeeper\server\DataTree.java,799,314,14,0,247,132,17,240,132,17,1068,216,76,Yes
1,src\java\main\org\apache\zookeeper\server\FinalRequestProcessor.java,266,63,9,0,23,12,2,21,12,2,983,232,109,Yes
1,src\java\main\org\apache\zookeeper\server\LogFormatter.java,73,14,4,0,2,2,0,2,2,0,613,270,153,No
1,src\java\main\org\apache\zookeeper\server\NIOServerCnxn.java,874,919,11,2,25,8,2,25,8,2,952,216,86,Yes
1,src\java\main\org\apache\zookeeper\server\persistence\FileSnap.java,160,36,5,3,25,19,5,25,19,5,151,84,30,Yes
1,src\java\main\org\apache\zookeeper\server\persistence\FileTxnLog.java,486,11,4,3,5,4,1,5,4,1,113,109,28,Yes
1,src\java\main\org\apache\zookeeper\server\persistence\FileTxnSnapLog.java,247,18,4,2,10,8,2,10,8,2,148,84,37,Yes
1,src\java\main\org\apache\zookeeper\server\persistence\SnapShot.java,61,2,2,0,1,1,0,1,1,0,84,84,42,No
1,src\java\main\org\apache\zookeeper\server\persistence\TxnLog.java,116,0,1,0,0,0,0,0,0,0,0,0,0,No
1,src\java\main\org\apache\zookeeper\server\persistence\Util.java,306,32,3,1,0,0,0,-1,0,0,88,72,29,Yes
1,src\java\main\org\apache\zookeeper\server\PrepRequestProcessor.java,461,73,12,1,24,15,2,18,13,1,1014,227,84,Yes
1,src\java\main\org\apache\zookeeper\server\PurgeTxnLog.java,95,133,5,0,19,17,3,19,17,3,692,330,138,Yes
1,src\java\main\org\apache\zookeeper\server\quorum\AckRequestProcessor.java,46,11,3,0,2,2,0,2,2,0,343,216,114,No
1,src\java\main\org\apache\zookeeper\server\quorum\AuthFastLeaderElection.java,899,956,8,0,4,2,0,-7,2,0,812,266,101,Yes
1,src\java\main\org\apache\zookeeper\server\quorum\CommitProcessor.java,190,225,7,1,21,15,3,14,15,2,820,219,117,Yes
1,src\java\main\org\apache\zookeeper\server\quorum\Election.java,27,21,4,0,18,18,4,18,18,4,713,275,178,Yes
1,src\java\main\org\apache\zookeeper\server\quorum\FastLeaderElection.java,627,324,11,2,179,106,16,156,106,14,893,270,81,Yes
1,src\java\main\org\apache\zookeeper\server\quorum\Follower.java,379,425,9,0,17,9,1,14,6,1,825,263,91,Yes
